date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2022-03-20,6,0,17,0,high,17,low,42296.26,40911.0,42201.13,41262.11,-0.022251062945470818
2022-03-21,0,13,2,2,low,13,high,41544.22,40467.94,41262.11,41002.25,-0.006297787485904152
2022-03-22,1,4,0,0,low,4,high,43361.0,40875.51,41002.26,42364.13,0.03321451061478063
2022-03-23,2,23,4,4,low,23,high,43025.96,41751.47,42364.13,42882.76,0.012242196405308091
2022-03-24,3,17,13,13,low,17,high,44220.89,42560.46,42882.76,43991.46,0.025854212741903672
2022-03-25,4,14,8,8,low,14,high,45094.14,43579.0,43991.46,44313.16,0.007312782981060514
2022-03-26,5,20,1,1,low,20,high,44792.99,44071.97,44313.16,44511.27,0.0044706809444416355
2022-03-27,6,22,13,13,low,22,high,46999.0,44421.46,44511.27,46827.76,0.052042774784902913
2022-03-28,0,19,0,0,low,19,high,48189.84,46663.56,46827.76,47122.21,0.006287936898967558
2022-03-29,1,12,22,12,high,22,low,48096.47,46950.85,47122.21,47434.8,0.006633602286480278
2022-03-30,2,17,1,1,low,17,high,47700.22,46445.42,47434.79,47067.99,-0.007732721068228676
2022-03-31,3,13,23,13,high,23,low,47600.0,45200.0,47067.99,45510.34,-0.033093616277219434
2022-04-01,4,15,2,2,low,15,high,46720.09,44200.0,45510.35,46283.49,0.016988223557937908
2022-04-02,5,0,18,0,high,18,low,47213.0,45620.0,46283.49,45811.0,-0.01020860786427294
2022-04-03,6,22,1,1,low,22,high,47444.11,45530.92,45810.99,46407.35,0.01301783698627776
2022-04-04,0,23,18,18,low,23,high,46890.71,45118.0,46407.36,46580.51,0.0037310892065396837
2022-04-05,1,12,23,12,high,23,low,47200.0,45353.81,46580.5,45497.55,-0.02324899904466455
2022-04-06,2,7,23,7,high,23,low,45507.14,43121.0,45497.54,43170.47,-0.05114716092342574
2022-04-07,3,12,0,0,low,12,high,43900.99,42727.35,43170.47,43444.19,0.00634044521637131
2022-04-08,4,8,23,8,high,23,low,43970.62,42107.14,43444.2,42252.01,-0.02744186795935925
2022-04-09,5,23,3,3,low,23,high,42800.0,42125.48,42252.02,42753.97,0.011879905386772145
2022-04-10,6,20,22,20,high,22,low,43410.3,41868.0,42753.96,42158.85,-0.013919412377239456
2022-04-11,0,1,22,1,high,22,low,42414.71,39200.0,42158.85,39530.45,-0.06234515410168924
2022-04-12,1,12,20,12,high,20,low,40699.0,39254.63,39530.45,40074.94,0.01377393882437476
2022-04-13,2,19,1,1,low,19,high,41561.31,39588.54,40074.95,41147.79,0.026770838142031465
2022-04-14,3,1,19,1,high,19,low,41500.0,39551.94,41147.78,39942.38,-0.02929441150895629
2022-04-15,4,14,0,0,low,14,high,40870.36,39766.4,39942.37,40551.9,0.015260236185283918
2022-04-16,5,1,15,1,high,15,low,40709.35,39991.55,40551.9,40378.71,-0.0042708233153071085
2022-04-17,6,13,23,13,high,23,low,40595.67,39546.17,40378.7,39678.12,-0.017350236634661207
2022-04-18,0,18,5,5,low,18,high,41116.73,38536.51,39678.11,40801.13,0.02830326343669083
2022-04-19,1,15,7,7,low,15,high,41760.0,40571.0,40801.13,41493.18,0.016961540035778492
2022-04-20,2,11,18,11,high,18,low,42199.0,40820.0,41493.19,41358.19,-0.0032535459433222654
2022-04-21,3,13,22,13,high,22,low,42976.0,39751.0,41358.19,40480.01,-0.021233521099448507
2022-04-22,4,6,16,6,high,16,low,40795.06,39177.0,40480.01,39709.18,-0.019042238378893725
2022-04-23,5,16,4,4,low,16,high,39980.0,39285.0,39709.19,39441.6,-0.006738742341508446
2022-04-24,6,14,16,14,high,16,low,39940.0,38929.62,39441.61,39450.13,0.00021601552269283122
2022-04-25,0,22,7,7,low,22,high,40616.0,38200.0,39450.12,40426.08,0.02473908824611938
2022-04-26,1,8,23,8,high,23,low,40797.31,37702.26,40426.08,38112.65,-0.057226176765098176
2022-04-27,2,13,0,0,low,13,high,39474.72,37881.31,38112.64,39235.72,0.029467389296569373
2022-04-28,3,18,14,14,low,18,high,40372.63,38881.43,39235.72,39742.07,0.012905332182001465
2022-04-29,4,1,19,1,high,19,low,39925.25,38175.0,39742.06,38596.11,-0.028834690501700143
2022-04-30,5,0,23,0,high,23,low,38795.38,37578.2,38596.11,37630.8,-0.025010551581493515
2022-05-01,6,16,1,1,low,16,high,38675.0,37386.38,37630.8,38468.35,0.022257034131615474
2022-05-02,0,6,18,6,high,18,low,39167.34,38052.0,38468.35,38525.16,0.001476798458993041
2022-05-03,1,8,19,8,high,19,low,38651.51,37517.8,38525.16,37728.95,-0.020667273023655355
2022-05-04,2,19,0,0,low,19,high,40023.77,37670.0,37728.95,39690.0,0.05197732775494688
2022-05-05,3,5,19,5,high,19,low,39845.51,35571.9,39690.0,36552.97,-0.07903829680020154
2022-05-06,4,0,13,0,high,13,low,36675.63,35258.0,36552.97,36013.77,-0.014751195320106802
2022-05-07,5,11,22,11,high,22,low,36146.3,34785.0,36013.77,35472.39,-0.015032583370194162
2022-05-08,6,0,17,0,high,17,low,35514.22,33713.95,35472.4,34038.4,-0.040425795829997405
2022-05-09,0,1,23,1,high,23,low,34243.15,30033.33,34038.39,30076.31,-0.11640033503347244
2022-05-10,1,6,0,0,low,6,high,32658.99,29730.4,30074.23,31017.1,0.03135142612130049
2022-05-11,2,10,21,10,high,21,low,32162.59,27785.0,31017.11,29103.94,-0.06168111729300382
2022-05-12,3,0,5,0,high,5,low,30243.0,26700.0,29103.94,29029.75,-0.0025491393948722644
2022-05-13,4,5,0,0,low,5,high,31083.37,28751.67,29029.74,29287.05,0.008863668775538385
2022-05-14,5,22,16,16,low,22,high,30343.27,28630.0,29287.05,30086.74,0.027305242419431195
2022-05-15,6,22,4,4,low,22,high,31460.0,29480.0,30086.74,31328.89,0.04128562948328725
2022-05-16,0,0,16,0,high,16,low,31328.9,29087.04,31328.89,29874.01,-0.04643892586044386
2022-05-17,1,8,18,8,high,18,low,30788.37,29450.38,29874.01,30444.93,0.019110926186340634
2022-05-18,2,0,23,0,high,23,low,30709.99,28654.47,30444.93,28715.32,-0.056811101224407495
2022-05-19,3,15,2,2,low,15,high,30545.18,28691.38,28715.33,30319.23,0.05585518258017574
2022-05-20,4,1,16,1,high,16,low,30777.33,28730.0,30319.22,29201.01,-0.036881225836284795
