date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2022-03-20,6,0,18,0,high,18,low,2964.17,2817.21,2950.85,2861.38,-0.030320077265872478
2022-03-21,0,16,2,2,low,16,high,2960.57,2829.81,2861.39,2890.03,0.0100091214409781
2022-03-22,1,4,0,0,low,4,high,3052.85,2886.43,2890.03,2969.64,0.027546426853700366
2022-03-23,2,16,4,4,low,16,high,3045.2,2920.65,2969.64,3036.0,0.022346142966824304
2022-03-24,3,15,2,2,low,15,high,3129.11,2999.11,3035.99,3110.76,0.024627880855997694
2022-03-25,4,12,17,12,high,17,low,3193.28,3076.0,3110.75,3102.14,-0.002767821264968296
2022-03-26,5,20,1,1,low,20,high,3153.2,3084.9,3102.13,3145.0,0.013819536898840438
2022-03-27,6,23,13,13,low,23,high,3299.37,3126.02,3145.01,3295.65,0.04789809889316723
2022-03-28,0,19,0,0,low,19,high,3431.15,3275.01,3295.65,3332.92,0.011308846509793207
2022-03-29,1,12,0,0,low,12,high,3481.87,3329.68,3332.91,3400.51,0.020282575887137777
2022-03-30,2,18,1,1,low,18,high,3446.9,3331.84,3400.51,3385.79,-0.004328762450338406
2022-03-31,3,12,18,12,high,18,low,3444.83,3261.35,3385.8,3281.51,-0.030802173784629912
2022-04-01,4,18,2,2,low,18,high,3481.29,3210.68,3281.51,3455.21,0.05293294855112427
2022-04-02,5,12,18,12,high,18,low,3532.2,3433.14,3455.2,3443.77,-0.0033080574206991887
2022-04-03,6,22,1,1,low,22,high,3580.34,3412.11,3443.77,3521.91,0.022690249348824073
2022-04-04,0,22,18,18,low,22,high,3547.0,3405.97,3521.9,3519.5,-0.0006814503535023967
2022-04-05,1,12,23,12,high,23,low,3555.0,3400.0,3519.5,3406.99,-0.031967609035374406
2022-04-06,2,0,23,0,high,23,low,3407.5,3162.39,3407.0,3168.51,-0.06999999999999994
2022-04-07,3,12,0,0,low,12,high,3268.98,3143.15,3168.52,3227.19,0.018516531377425444
2022-04-08,4,8,23,8,high,23,low,3314.02,3173.52,3227.2,3192.39,-0.01078644025780861
2022-04-09,5,23,3,3,low,23,high,3268.4,3181.28,3192.39,3258.57,0.02073054983883557
2022-04-10,6,17,23,17,high,23,low,3307.22,3193.0,3258.57,3203.04,-0.017041217466557478
2022-04-11,0,1,21,1,high,21,low,3213.63,2950.0,3203.04,2979.74,-0.06971502073030626
2022-04-12,1,13,2,2,low,13,high,3085.0,2950.0,2979.75,3027.66,0.01607853007802663
2022-04-13,2,23,13,13,low,23,high,3128.97,2996.86,3027.65,3118.28,0.029934107310950774
2022-04-14,3,1,19,1,high,19,low,3145.0,2976.3,3118.28,3021.98,-0.03088240953346081
2022-04-16,5,22,15,15,low,22,high,3086.1,3010.03,3040.57,3059.3,0.006160029205050374
2022-04-17,6,13,23,13,high,23,low,3083.0,2981.7,3059.3,2988.06,-0.023286372699637247
2022-04-18,0,23,7,7,low,23,high,3069.6,2883.22,2988.07,3055.56,0.022586485591033604
2022-04-19,1,15,7,7,low,15,high,3131.0,3030.34,3055.56,3101.77,0.015123250729817132
2022-04-20,2,11,18,11,high,18,low,3166.5,3036.45,3101.74,3076.04,-0.008285671913184155
2022-04-21,3,12,22,12,high,22,low,3180.0,2942.31,3076.03,2983.58,-0.030054973456045703
2022-04-22,4,7,16,7,high,16,low,3034.32,2930.35,2983.57,2962.39,-0.007098878189551541
2022-04-23,5,16,4,4,low,16,high,2978.03,2913.89,2962.39,2933.03,-0.009910916523482619
2022-04-24,6,19,14,14,low,19,high,2967.06,2912.09,2933.04,2921.0,-0.004104955950140456
2022-04-25,0,20,9,9,low,20,high,3025.65,2797.01,2920.99,3006.62,0.029315403339278845
2022-04-26,1,0,23,0,high,23,low,3039.54,2767.0,3006.63,2809.67,-0.06550855941702173
2022-04-27,2,13,0,0,low,13,high,2919.87,2794.46,2809.68,2888.96,0.028216736425500485
2022-04-28,3,18,14,14,low,18,high,2980.0,2853.83,2888.95,2936.93,0.016608110213053192
2022-04-29,4,0,19,0,high,19,low,2946.46,2776.63,2936.92,2817.13,-0.04078762785503179
2022-04-30,5,5,23,5,high,23,low,2841.63,2709.26,2817.13,2726.66,-0.032114243929105245
2022-05-01,6,23,0,0,low,23,high,2849.9,2716.13,2726.67,2824.81,0.03599262103591556
2022-05-02,0,22,13,13,low,22,high,2894.22,2778.78,2824.81,2856.54,0.011232613874915488
2022-05-03,1,0,20,0,high,20,low,2861.47,2755.19,2856.54,2781.7,-0.02619952810042924
2022-05-04,2,19,0,0,low,19,high,2965.85,2771.74,2781.7,2940.64,0.05713772153718951
2022-05-05,3,0,19,0,high,19,low,2954.65,2683.0,2940.65,2747.97,-0.06552292860422025
2022-05-06,4,2,13,2,high,13,low,2758.18,2632.95,2747.96,2692.85,-0.020054877072446516
2022-05-07,5,15,22,15,high,22,low,2704.36,2584.75,2692.86,2635.34,-0.021360189538260427
2022-05-08,6,0,17,0,high,17,low,2642.0,2484.0,2635.35,2519.71,-0.04388031950215337
2022-05-09,0,1,19,1,high,19,low,2530.78,2225.0,2519.71,2228.55,-0.11555298030328881
2022-05-10,1,13,0,0,low,13,high,2457.34,2200.0,2229.0,2342.05,0.05071781067743391
2022-05-11,2,10,21,10,high,21,low,2451.37,2005.0,2342.04,2084.99,-0.10975474372769047
2022-05-12,3,0,5,0,high,5,low,2195.0,1800.0,2084.99,1960.22,-0.05984201363076071
2022-05-13,4,14,0,0,low,14,high,2147.54,1940.23,1960.22,2009.69,0.0252369631980084
2022-05-14,5,1,14,1,high,14,low,2070.06,1951.21,2009.69,2056.48,0.023282197751892064
2022-05-15,6,22,3,3,low,22,high,2167.0,2000.68,2056.47,2145.29,0.04319051578676089
2022-05-16,0,0,16,0,high,16,low,2145.29,1979.12,2145.29,2023.66,-0.05669629747027203
2022-05-17,1,13,18,13,high,18,low,2122.42,2008.0,2023.66,2090.72,0.03313797772353049
2022-05-18,2,0,23,0,high,23,low,2110.72,1908.0,2090.72,1915.11,-0.08399498737277106
2022-05-19,3,15,2,2,low,15,high,2040.39,1903.18,1915.11,2019.55,0.0545347264647984
2022-05-20,4,11,16,11,high,16,low,2064.0,1923.0,2019.55,1959.08,-0.029942313881805366
2022-05-21,5,16,1,1,low,16,high,1990.86,1937.36,1959.08,1975.07,0.008161994405537299
2022-05-22,6,23,5,5,low,23,high,2056.41,1966.33,1975.06,2043.19,0.03449515457758251
2022-05-23,0,12,23,12,high,23,low,2088.5,1957.12,2043.19,1973.32,-0.03419652602058552
2022-05-24,1,4,14,4,high,14,low,1993.83,1913.02,1973.33,1979.41,0.003081086285618804
2022-05-25,2,3,12,3,high,12,low,2022.34,1934.61,1979.4,1942.63,-0.018576336263514185
2022-05-26,3,0,13,0,high,13,low,1966.01,1735.0,1942.64,1792.23,-0.07742556521022942
2022-05-27,4,12,23,12,high,23,low,1822.26,1703.0,1792.24,1727.27,-0.03625072534928359
2022-05-28,5,15,0,0,low,15,high,1808.98,1722.26,1727.26,1792.22,0.03760869816935496
2022-05-29,6,13,2,2,low,13,high,1827.4,1759.96,1792.21,1813.64,0.011957304110567436
2022-05-30,0,23,0,0,low,23,high,2013.0,1803.18,1813.64,1998.78,0.10208200083809348
2022-05-31,1,0,18,0,high,18,low,2016.45,1925.0,1998.78,1941.9,-0.02845735898898322
2022-06-01,2,13,20,13,high,20,low,1972.58,1763.75,1941.9,1817.95,-0.06382923940470675
2022-06-02,3,22,13,13,low,22,high,1853.05,1782.42,1817.96,1834.08,0.008867081783977585
2022-06-03,4,1,12,1,high,12,low,1843.91,1737.0,1834.09,1775.12,-0.032152184462049316
2022-06-04,5,22,2,2,low,22,high,1816.0,1748.43,1775.13,1804.58,0.016590334229042276
2022-06-05,6,18,9,9,low,18,high,1830.17,1773.05,1804.58,1806.23,0.0009143401788782382
2022-06-06,0,12,0,0,low,12,high,1920.0,1804.35,1806.22,1859.84,0.029686306208545964
2022-06-07,1,19,2,2,low,19,high,1874.98,1725.13,1859.84,1813.33,-0.025007527529249823
2022-06-08,2,13,3,3,low,13,high,1838.77,1765.28,1813.33,1791.88,-0.011829065862253324
2022-06-09,3,9,0,0,low,9,high,1833.0,1777.33,1791.88,1788.81,-0.001713284371721412
2022-06-10,4,3,23,3,high,23,low,1804.32,1655.93,1788.8,1662.91,-0.07037678890876559
2022-06-11,5,0,16,0,high,16,low,1682.21,1496.74,1662.91,1532.89,-0.07818823628458545
