date,day_of_week,high_hour,low_hour,p1_hour,p1_type,p2_hour,p2_type,daily_high,daily_low,open_price,close_price,day_return
2024-02-29,3,6,18,6,high,18,low,63676.35,60364.7,62432.11,61130.98,-0.02084071802154368
2024-03-01,4,20,3,3,low,20,high,63114.23,60777.0,61130.99,62387.9,0.020560929898239887
2024-03-02,5,0,14,0,high,14,low,62433.19,61561.12,62387.9,61987.28,-0.006421437490282613
2024-03-03,6,22,7,7,low,22,high,63231.88,61320.0,61987.28,63113.97,0.01817614839689695
2024-03-04,0,23,0,0,low,23,high,68499.0,62300.0,63113.97,68245.71,0.08130909844524128
2024-03-05,1,15,19,15,high,19,low,69000.0,59005.0,68245.71,63724.01,-0.06625617932614378
2024-03-06,2,8,2,2,low,8,high,67641.1,62779.14,63724.01,66074.04,0.03687825044280785
2024-03-07,3,17,1,1,low,17,high,67980.0,65551.0,66074.04,66823.17,0.011337735667442232
2024-03-08,4,15,16,15,high,16,low,69990.0,66082.66,66823.18,68124.19,0.019469441591974664
2024-03-09,5,7,1,1,low,7,high,68541.1,67861.1,68124.2,68313.27,0.002775372041066273
2024-03-10,6,10,22,10,high,22,low,69887.61,68094.75,68313.28,68955.88,0.009406662950454229
2024-03-11,0,19,0,0,low,19,high,72800.0,67024.96,68955.88,72078.1,0.04527851721999634
2024-03-12,1,14,17,14,high,17,low,73000.0,68620.82,72078.1,71452.01,-0.008686272251904685
2024-03-13,2,8,0,0,low,8,high,73650.25,71333.31,71452.0,73072.41,0.02267830151710244
2024-03-14,3,7,19,7,high,19,low,73777.0,68555.0,73072.4,71388.94,-0.02303824699886677
2024-03-15,4,0,9,0,high,9,low,72419.71,65600.0,71388.94,69499.85,-0.026461942143979116
2024-03-16,5,0,23,0,high,23,low,70043.0,64780.0,69499.84,65300.63,-0.06042042686716976
2024-03-17,6,22,7,7,low,22,high,68904.4,64533.0,65300.64,68393.48,0.047363088631290545
2024-03-18,0,5,17,5,high,17,low,68956.0,66565.2,68393.47,67609.99,-0.011455479594762423
2024-03-19,1,0,23,0,high,23,low,68124.11,61555.0,67610.0,61937.4,-0.0839017896760834
2024-03-20,2,22,5,5,low,22,high,68100.0,60775.0,61937.41,67840.51,0.09530750478587967
2024-03-21,3,0,20,0,high,20,low,68240.47,64529.01,67840.51,65501.27,-0.03448146247721307
2024-03-22,4,6,21,6,high,21,low,66649.62,62260.0,65501.28,63796.64,-0.02602452959697886
2024-03-23,5,17,3,3,low,17,high,65999.0,63000.0,63796.64,63990.01,0.0030310373712471787
2024-03-24,6,23,4,4,low,23,high,67628.69,63772.29,63990.02,67209.99,0.05031987800597669
2024-03-25,0,20,2,2,low,20,high,71150.0,66385.06,67210.0,69880.01,0.03972638000297567
2024-03-26,1,7,14,7,high,14,low,71561.1,69280.0,69880.0,69988.0,0.0015455065827132226
2024-03-27,2,13,16,13,high,16,low,71769.54,68359.18,69987.99,69469.99,-0.007401269846440796
2024-03-28,3,14,2,2,low,14,high,71552.06,68903.62,69469.99,70780.6,0.018865844086057886
2024-03-29,4,1,15,1,high,15,low,70916.16,69009.0,70780.6,69850.54,-0.013140041197729492
2024-03-30,5,5,23,5,high,23,low,70321.1,69540.0,69850.53,69582.18,-0.0038417747152384644
2024-03-31,6,23,0,0,low,23,high,71366.0,69562.99,69582.17,71280.01,0.02440050374973929
2024-04-01,0,0,16,0,high,16,low,71288.23,68062.86,71280.0,69649.8,-0.02287037037037033
2024-04-02,1,0,16,0,high,16,low,69674.23,64550.0,69649.81,65463.99,-0.06009808210532089
2024-04-03,2,14,0,0,low,14,high,66903.63,64493.07,65463.99,65963.28,0.0076269411626147575
2024-04-04,3,18,4,4,low,18,high,69309.91,65064.52,65963.27,68487.79,0.03827160175655314
2024-04-05,4,0,12,0,high,12,low,68756.67,65952.56,68487.8,67820.62,-0.0097415890129338
2024-04-06,5,23,2,2,low,23,high,69692.0,67447.83,67820.63,68896.0,0.01585608980630223
2024-04-07,6,16,0,0,low,16,high,70326.29,68824.0,68896.0,69360.39,0.006740449372967943
2024-04-08,0,12,0,0,low,12,high,72797.99,69043.24,69360.38,71620.0,0.032577964538256496
2024-04-09,1,0,17,0,high,17,low,71758.19,68210.0,71620.0,69146.0,-0.03454342362468584
2024-04-10,2,22,13,13,low,22,high,71172.08,67518.0,69146.0,70631.08,0.021477453504179587
2024-04-11,3,7,15,7,high,15,low,71305.89,69567.21,70631.08,70006.23,-0.008846672031632615
2024-04-12,4,4,18,4,high,18,low,71227.46,65086.86,70006.22,67116.52,-0.04127776074754496
2024-04-13,5,4,20,4,high,20,low,67929.0,60660.57,67116.52,63924.51,-0.04755922982896017
