season,date,home,away,gh,ga,match_id
2020-2021,2020-10-01,SC Magdeburg,Bergischer,27,31,zFt4r7qD
2020-2021,2020-10-01,Lemgo,Coburg 2000,33,26,SnYHYjXo
2020-2021,2020-10-01,Leipzig,Ludwigshafen,27,19,ldZDZWHu
2020-2021,2020-10-01,Hannover-Burgdorf,Minden,26,25,nkp8sRbJ
2020-2021,2020-10-03,Nordhorn-Lingen,Fuchse Berlin,20,25,zDyQWU1b
2020-2021,2020-10-04,Rhein-Neckar,Stuttgart,30,20,4hTtTn1N
2020-2021,2020-10-04,Kiel,Erlangen,36,30,WvVYU8WA
2020-2021,2020-10-04,HSG Wetzlar,Flensburg-H.,27,29,YNo5NQOp
2020-2021,2020-10-04,HBW Balingen-Weilstetten,MT Melsungen,23,25,0UwioUGi
2020-2021,2020-10-06,Kiel,Hannover-Burgdorf,34,31,bFAbnawI
2020-2021,2020-10-06,MT Melsungen,Lemgo,27,21,jBYRUW7p
2020-2021,2020-10-06,Coburg 2000,Leipzig,22,29,CYKCt6VM
2020-2021,2020-10-06,Goppingen,HBW Balingen-Weilstetten,28,23,U1XVTjNj
2020-2021,2020-10-06,Fuchse Berlin,SC Magdeburg,22,32,MqSaq8o4
2020-2021,2020-10-06,Ludwigshafen,Rhein-Neckar,24,26,Ugw7hz0i
2020-2021,2020-10-07,Stuttgart,Essen,31,23,ddgVbmoi
2020-2021,2020-10-07,Minden,HSG Wetzlar,24,29,Qyone5pG
2020-2021,2020-10-07,Flensburg-H.,Nordhorn-Lingen,33,26,tlBrypgp
2020-2021,2020-10-07,Bergischer,Erlangen,29,25,U9iwcRF3
2020-2021,2020-10-08,SC Magdeburg,Goppingen,28,22,8pxBifFc
2020-2021,2020-10-08,Lemgo,Ludwigshafen,24,22,E1VLl3Nq
2020-2021,2020-10-08,Hannover-Burgdorf,Coburg 2000,27,23,27yFjEU3
2020-2021,2020-10-10,HSG Wetzlar,Kiel,31,22,ATOUnshd
2020-2021,2020-10-10,HBW Balingen-Weilstetten,Stuttgart,28,30,Kb6L94a9
2020-2021,2020-10-11,Erlangen,MT Melsungen,31,21,p0tfO3E2
2020-2021,2020-10-11,Nordhorn-Lingen,Bergischer,26,31,hQq2MsqF
2020-2021,2020-10-11,Leipzig,Fuchse Berlin,24,24,hC4T7rUL
2020-2021,2020-10-11,Rhein-Neckar,Essen,33,27,443700Me
2020-2021,2020-10-11,Flensburg-H.,Minden,29,24,dv0a2Miq
2020-2021,2020-10-15,Rhein-Neckar,Leipzig,23,28,A1OS3ZSm
2020-2021,2020-10-15,Fuchse Berlin,Hannover-Burgdorf,31,27,rFMz2Dc0
2020-2021,2020-10-15,Ludwigshafen,SC Magdeburg,22,28,6m8VNfKJ
2020-2021,2020-10-15,Bergischer,HSG Wetzlar,20,22,vsGq0iSC
2020-2021,2020-10-17,MT Melsungen,Minden,24,24,2em6Hhcm
2020-2021,2020-10-18,Coburg 2000,Nordhorn-Lingen,26,29,rF8uWiCt
2020-2021,2020-10-18,Stuttgart,Lemgo,26,26,v1rVBlRO
2020-2021,2020-10-18,Goppingen,Erlangen,27,27,WzuNDAdC
2020-2021,2020-10-18,Essen,HBW Balingen-Weilstetten,33,27,GtMnUVtg
2020-2021,2020-10-18,Kiel,Flensburg-H.,29,21,z9oEFWRa
2020-2021,2020-10-22,Hannover-Burgdorf,Bergischer,30,30,C8FeS9B5
2020-2021,2020-10-22,HBW Balingen-Weilstetten,Ludwigshafen,26,27,UqnMrVen
2020-2021,2020-10-22,Lemgo,Essen,31,23,tl7CORAU
2020-2021,2020-10-22,Leipzig,Goppingen,22,25,pMD3QmtI
2020-2021,2020-10-24,Nordhorn-Lingen,Kiel,29,35,jazVt9Qb
2020-2021,2020-10-25,SC Magdeburg,Stuttgart,29,30,fiXowRPN
2020-2021,2020-10-25,Minden,Fuchse Berlin,31,26,KfG9h6PA
2020-2021,2020-10-25,HSG Wetzlar,MT Melsungen,25,33,jNIHX4mo
2020-2021,2020-10-25,Flensburg-H.,Coburg 2000,32,22,bPwwumeB
2020-2021,2020-10-25,Erlangen,Rhein-Neckar,20,26,U5Nde8uh
2020-2021,2020-10-29,Stuttgart,Leipzig,30,24,Qgrszb9q
2020-2021,2020-10-29,Goppingen,Lemgo,28,28,bcwyduW2
2020-2021,2020-10-29,Ludwigshafen,Hannover-Burgdorf,27,27,n9WkYyvd
2020-2021,2020-10-31,Essen,Erlangen,20,26,fPWqfJ0F
2020-2021,2020-10-31,Bergischer,Flensburg-H.,25,30,GAuJkYqA
2020-2021,2020-11-01,Kiel,Minden,41,26,SxVihcVR
2020-2021,2020-11-01,Fuchse Berlin,HSG Wetzlar,35,28,CU8zpZx8
2020-2021,2020-11-01,Coburg 2000,SC Magdeburg,26,28,U5wLiodE
2020-2021,2020-11-01,Rhein-Neckar,HBW Balingen-Weilstetten,36,27,QDASoe8e
2020-2021,2020-11-01,MT Melsungen,Nordhorn-Lingen,33,28,2JyTkPQQ
2020-2021,2020-11-11,SC Magdeburg,Rhein-Neckar,31,33,S0L7rsJ0
2020-2021,2020-11-11,Nordhorn-Lingen,Ludwigshafen,27,24,z7rZb23s
2020-2021,2020-11-11,Lemgo,HBW Balingen-Weilstetten,26,32,lG9GtLmD
2020-2021,2020-11-11,Erlangen,Stuttgart,34,25,GM124OuK
2020-2021,2020-11-12,HSG Wetzlar,Coburg 2000,31,22,fop4CLXt
2020-2021,2020-11-14,Stuttgart,Hannover-Burgdorf,31,26,bZUNlhaG
2020-2021,2020-11-14,Ludwigshafen,Erlangen,26,30,MepqDhOi
2020-2021,2020-11-14,Rhein-Neckar,Lemgo,26,18,IPUT6H1I
2020-2021,2020-11-15,Essen,Nordhorn-Lingen,26,33,xYgRPV7c
2020-2021,2020-11-15,Bergischer,Kiel,27,32,QgQ87lhT
2020-2021,2020-11-19,Nordhorn-Lingen,Goppingen,20,29,MaSmT4Ek
2020-2021,2020-11-19,HSG Wetzlar,Ludwigshafen,29,11,W8Y3wkxc
2020-2021,2020-11-19,Erlangen,HBW Balingen-Weilstetten,32,34,U1m9zmMF
2020-2021,2020-11-21,Kiel,Coburg 2000,41,26,6aYVnWTS
2020-2021,2020-11-21,Bergischer,Fuchse Berlin,29,31,AaX7x9i3
2020-2021,2020-11-22,Leipzig,Lemgo,32,32,42tIFopj
2020-2021,2020-11-22,Goppingen,HSG Wetzlar,33,30,URWa9ANG
2020-2021,2020-11-22,Flensburg-H.,Stuttgart,34,30,88Kcrjxp
2020-2021,2020-11-26,Stuttgart,Nordhorn-Lingen,36,24,rTeVurbe
2020-2021,2020-11-26,HBW Balingen-Weilstetten,Leipzig,20,20,xQTRmCEM
2020-2021,2020-11-26,Rhein-Neckar,HSG Wetzlar,37,24,UPVeRrq2
2020-2021,2020-11-26,Essen,Goppingen,28,32,dMxMXAnh
2020-2021,2020-11-28,Lemgo,Erlangen,24,23,z3hNs4Tr
2020-2021,2020-11-28,Ludwigshafen,Minden,30,24,IamL2558
2020-2021,2020-11-29,Goppingen,Kiel,28,31,jX92sAij
2020-2021,2020-11-29,Coburg 2000,Fuchse Berlin,25,32,xl0gpcks
2020-2021,2020-11-29,HBW Balingen-Weilstetten,Flensburg-H.,25,32,27D6tU6d
2020-2021,2020-11-29,Essen,Hannover-Burgdorf,26,26,pE31ryKg
2020-2021,2020-11-29,MT Melsungen,Bergischer,32,31,r5Drkny9
2020-2021,2020-11-29,Leipzig,SC Magdeburg,33,29,GIBjmQ5L
2020-2021,2020-12-03,Hannover-Burgdorf,Goppingen,31,25,8KtsctYg
2020-2021,2020-12-03,Minden,Essen,30,29,naygiW2O
2020-2021,2020-12-03,Bergischer,Coburg 2000,28,24,KWHqeE3a
2020-2021,2020-12-05,Erlangen,Leipzig,30,22,SdLighYB
2020-2021,2020-12-05,Kiel,Ludwigshafen,29,19,GA1l5Dqc
2020-2021,2020-12-05,Fuchse Berlin,MT Melsungen,32,30,SYx52dBP
2020-2021,2020-12-06,Flensburg-H.,Goppingen,30,23,f10h4Xb3
2020-2021,2020-12-06,Hannover-Burgdorf,HBW Balingen-Weilstetten,25,29,EgeIvgJI
2020-2021,2020-12-06,HSG Wetzlar,Stuttgart,30,25,bHTzczZn
2020-2021,2020-12-06,SC Magdeburg,Lemgo,30,28,ttcAtFl6
2020-2021,2020-12-06,Nordhorn-Lingen,Rhein-Neckar,24,29,GEF6Ag3n
2020-2021,2020-12-10,Stuttgart,Minden,30,26,Q3FV4kXN
2020-2021,2020-12-10,MT Melsungen,Coburg 2000,27,32,xU3F8XXb
2020-2021,2020-12-10,Lemgo,Nordhorn-Lingen,36,29,pf7N6B2B
2020-2021,2020-12-10,Leipzig,HSG Wetzlar,32,28,638J7im5
2020-2021,2020-12-12,Erlangen,Hannover-Burgdorf,21,21,KQEZ39nU
2020-2021,2020-12-12,Ludwigshafen,Fuchse Berlin,23,34,0KWs8Lbo
2020-2021,2020-12-13,Goppingen,Bergischer,26,26,SIdS5VHH
2020-2021,2020-12-13,Rhein-Neckar,Flensburg-H.,31,31,Cxec3iE9
2020-2021,2020-12-13,HBW Balingen-Weilstetten,SC Magdeburg,26,39,MZ01aTfo
2020-2021,2020-12-15,Fuchse Berlin,Stuttgart,31,25,8jN23cDG
2020-2021,2020-12-15,Hannover-Burgdorf,Rhein-Neckar,36,30,UaOb4wbA
2020-2021,2020-12-15,HSG Wetzlar,HBW Balingen-Weilstetten,36,26,GGM62HSM
2020-2021,2020-12-15,Nordhorn-Lingen,Leipzig,24,28,Ei2sdF5j
2020-2021,2020-12-15,Minden,Lemgo,28,23,0lbwcejp
2020-2021,2020-12-16,SC Magdeburg,Erlangen,36,26,nyZg5Jr4
2020-2021,2020-12-16,Flensburg-H.,Essen,35,28,YXUk6aTc
2020-2021,2020-12-16,Coburg 2000,Goppingen,21,29,SfjPKbri
2020-2021,2020-12-16,Bergischer,Ludwigshafen,28,19,f7LA1yrT
2020-2021,2020-12-17,Leipzig,Hannover-Burgdorf,29,26,4zzxd96q
2020-2021,2020-12-17,Lemgo,HSG Wetzlar,28,27,rRYueTLk
2020-2021,2020-12-19,Stuttgart,Kiel,27,34,Ghnmg7j2
2020-2021,2020-12-19,Essen,Coburg 2000,29,27,4ESsFlDL
2020-2021,2020-12-19,Erlangen,Minden,21,21,IcQVHjT2
2020-2021,2020-12-19,Ludwigshafen,Flensburg-H.,20,29,QNTwGUcF
2020-2021,2020-12-20,Goppingen,MT Melsungen,23,30,x2mqfmyd
2020-2021,2020-12-20,SC Magdeburg,Nordhorn-Lingen,28,20,pjg51VrM
2020-2021,2020-12-20,Rhein-Neckar,Bergischer,24,23,bgc90kbS
2020-2021,2020-12-20,HBW Balingen-Weilstetten,Fuchse Berlin,19,28,W0UZGAr9
2020-2021,2020-12-22,Coburg 2000,Ludwigshafen,23,23,xUu9Kkl8
2020-2021,2020-12-22,Flensburg-H.,Erlangen,33,23,OMqYIxD3
2020-2021,2020-12-22,Minden,Leipzig,23,20,dY2Mdnd1
2020-2021,2020-12-22,HSG Wetzlar,SC Magdeburg,24,24,l8aEb8Rl
2020-2021,2020-12-23,Nordhorn-Lingen,HBW Balingen-Weilstetten,29,27,zP1Qe6B7
2020-2021,2020-12-23,Kiel,Rhein-Neckar,32,23,6okTJIcc
2020-2021,2020-12-23,Hannover-Burgdorf,Lemgo,31,23,2DrxIdS9
2020-2021,2020-12-23,Bergischer,Essen,35,29,SbbIcSte
2020-2021,2020-12-26,Stuttgart,Bergischer,26,30,nw0mBoBf
2020-2021,2020-12-26,SC Magdeburg,Hannover-Burgdorf,33,25,jXqDJ93E
2020-2021,2020-12-27,Rhein-Neckar,Coburg 2000,39,24,pfqHITIK
2020-2021,2020-12-27,Lemgo,Fuchse Berlin,23,29,EP1uD7tr
2020-2021,2020-12-27,Leipzig,Flensburg-H.,24,29,OprLHmYQ
2020-2021,2020-12-27,Essen,HSG Wetzlar,29,36,ABorXSXD
2020-2021,2021-02-06,Minden,HBW Balingen-Weilstetten,20,27,rPLsLMvJ
2020-2021,2021-02-06,Stuttgart,Coburg 2000,23,29,pUaQq6HJ
2020-2021,2021-02-07,Goppingen,Ludwigshafen,24,22,zaIZMrA6
2020-2021,2021-02-07,Fuchse Berlin,Essen,30,23,0tQMPpQm
2020-2021,2021-02-11,Minden,Bergischer,29,36,G0YCAa2g
2020-2021,2021-02-11,Stuttgart,Ludwigshafen,26,29,GIZ4xO9g
2020-2021,2021-02-11,HBW Balingen-Weilstetten,Coburg 2000,34,26,OrwDz2v6
2020-2021,2021-02-11,Essen,MT Melsungen,28,35,KAWLYu9I
2020-2021,2021-02-13,Erlangen,Fuchse Berlin,30,27,ULw9yrPa
2020-2021,2021-02-14,Bergischer,Leipzig,29,30,Ygp0w4fm
2020-2021,2021-02-14,MT Melsungen,Stuttgart,28,30,6qA9alCr
2020-2021,2021-02-14,SC Magdeburg,Minden,29,28,OKbUrQWP
2020-2021,2021-02-14,Hannover-Burgdorf,Flensburg-H.,26,33,MkNnE8SR
2020-2021,2021-02-14,Goppingen,Rhein-Neckar,34,32,f3odvpus
2020-2021,2021-02-18,Goppingen,Stuttgart,27,17,GWEwiNOn
2020-2021,2021-02-18,HSG Wetzlar,Hannover-Burgdorf,26,24,Y7PYi39t
2020-2021,2021-02-18,Minden,Nordhorn-Lingen,27,27,OdIok1ga
2020-2021,2021-02-18,Coburg 2000,Erlangen,27,26,pC6fmuOB
2020-2021,2021-02-18,Fuchse Berlin,Flensburg-H.,29,33,rBYiBWh4
2020-2021,2021-02-18,MT Melsungen,Leipzig,31,28,C4J7dq1P
2020-2021,2021-02-21,Hannover-Burgdorf,Nordhorn-Lingen,31,22,6JQIQQAs
2020-2021,2021-02-21,Kiel,SC Magdeburg,24,24,IL8I8njk
2020-2021,2021-02-21,Fuchse Berlin,Rhein-Neckar,23,29,b1VPXaOO
2020-2021,2021-02-21,Flensburg-H.,Lemgo,27,27,UeCM765e
2020-2021,2021-02-21,Ludwigshafen,Essen,25,26,2mHklL85
2020-2021,2021-02-21,Bergischer,HBW Balingen-Weilstetten,30,22,fNDsjsvg
2020-2021,2021-02-25,Coburg 2000,Minden,24,28,MPBv2SFj
2020-2021,2021-02-25,SC Magdeburg,Essen,34,28,C41wNTiG
